iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score
33,1.4196925163269043,-554.7319187242061,19.87423202951501,-525.1295463680838,-620.4888915890465,0.5657636657294768,0.05,0.023607254028320312,0.46402454376220703,0.025430772,0.09039424,-554.0798333660912,-0.07584429027585128,-2.270858125822254,0.0,4019,0.7277672290802002,0.00010663527251877774,9.870195021532869e-05,-505.3474008696644
34,1.5607306957244873,-550.7642737136371,17.95713578037618,-522.9373508381282,-605.6367970180071,0.5661737190980046,0.05,0.04893970489501953,0.2582101821899414,0.025615282,0.08815589,-553.7482774008458,-0.07727238507719633,-2.251005841773192,0.0,3872,0.6008117198944092,0.00013066867654501255,0.00012589315583651803,-505.2508115056797
35,1.6179399490356445,-552.2101297014182,18.77757266188582,-512.6636695763693,-601.9064602405422,0.5934873288902482,0.05,0.04973483085632324,0.45374131202697754,0.025137857,0.085922405,-553.5944626309031,-0.07650185545959155,-2.258440777192653,0.0,4017,0.7047538757324219,0.0001483107367551669,0.00013967564187142463,-522.140720032439
36,1.583972692489624,-551.9911321649114,19.986754110489404,-514.5491981723303,-617.7016243085612,0.5728639952764553,0.05,0.030788421630859375,0.34200382232666016,0.025286373,0.086521775,-553.434129584304,-0.07632766590957861,-2.25730598957603,0.0,4035,0.7003359794616699,0.00014335594526074052,0.00013526684861284394,-517.9129381783557
37,1.5245819091796875,-555.2770386504612,21.547933434201493,-510.97224445120713,-628.1561516865343,0.5827852346425568,0.05,0.05989241600036621,0.5381407737731934,0.025453681,0.08628678,-553.6184204909197,-0.07599774752948664,-2.273652382539773,0.0,4252,0.8325939178466797,0.00012226729769831312,0.00011381881382853913,-508.67427974005415
38,1.5692124366760254,-553.6660069960916,16.717192514689373,-525.1630603846603,-599.0160918011984,0.5676298709117644,0.05,0.03522777557373047,0.3847165107727051,0.025036097,0.089710824,-553.6231791414369,-0.0760049840187763,-2.2656121162284126,0.0,4272,0.7073032855987549,0.0001383011396729933,0.00012732850926324164,-508.4837099644299
39,1.6388309001922607,-547.585090373239,14.190933839092285,-517.9785344162142,-591.6727421390178,0.5608642620428822,0.05,0.049218177795410156,0.2923240661621094,0.024984986,0.09375347,-553.0193702646172,-0.07408316430869669,-2.2350836793868516,0.0,4139,0.88340163230896,0.00018315301363569929,0.0001582308132005665,-530.6288254306979
40,1.6800916194915771,-552.4393746816753,18.463385019132726,-512.9945323046209,-595.6083354507315,0.5890566158233023,0.05,0.054537057876586914,0.3597838878631592,0.025351344,0.08429419,-552.9613707063231,-0.07822666373834368,-2.259253944017709,0.0,4356,0.637535572052002,0.00017475810146292572,0.00016491816854892006,-524.0344829841259
41,1.638007640838623,-551.5289980396449,13.893335834719993,-514.3945321945133,-588.6366066250181,0.6013869329074698,0.05,0.04644513130187988,0.24471521377563477,0.02549978,0.08411158,-552.8181334396553,-0.07617979405068455,-2.2548409068400543,0.0,4438,0.7722969055175781,0.00016088292730737723,0.00013784882066505448,-520.8540396134064
42,1.6771228313446045,-549.1447414438818,16.5600859897693,-515.8537206689125,-606.3516203358062,0.59247308258121,0.05,0.05258941650390625,0.3919849395751953,0.025607187,0.08348173,-552.450794240078,-0.07722789271998512,-2.24269211775845,0.0,4500,0.8338778018951416,0.0001895819159746521,0.00016299067735979733,-517.2498724113809
43,1.5699970722198486,-548.3282866689684,16.94257542056626,-510.9039675504386,-619.0269206912997,0.6178312708337248,0.05,0.044162750244140625,0.44736671447753906,0.025187708,0.0819109,-552.0385434829672,-0.07817881819583476,-2.23882112994984,0.0,4510,0.8245453834533691,0.00023373975525000967,0.00022777960994321733,-529.666361717668
44,1.6317734718322754,-545.4478370652357,15.382841894546996,-477.3538318818871,-579.7494706243247,0.6322708208811793,0.05,0.03602957725524902,0.437882661819458,0.025039589,0.08046856,-551.379472841194,-0.07859033085302168,-2.2243134471881123,0.0,4525,1.0772876739501953,0.00033707280872790393,0.00027815855017125234,-524.7663269867193
45,1.8194301128387451,-547.2371715499828,15.489507761790035,-517.3200069470938,-607.9913934793526,0.653831444574272,0.05,0.034279823303222656,0.4552023410797119,0.024913287,0.07375334,-550.965242712073,-0.0805076435975411,-2.233360721106221,0.0,4738,0.9862732887268066,0.0003101121342744688,0.00028953757319843845,-534.7979184683785
46,1.8429183959960938,-545.4844716784278,14.444313833182049,-518.666954268274,-586.4011560425599,0.6601163269777964,0.05,0.04242420196533203,0.3035576343536377,0.02568977,0.07595867,-550.4171656087085,-0.0814858908775787,-2.2246352635932545,0.0,4922,0.9068973064422607,0.0004412140751254309,0.0003871358757764308,-528.3681998825663
